time,x,y,yaw
1762758265.288865,0.029217,0.032027,-0.000794
1762758265.320127,0.027793,0.033009,-0.000234
1762758265.357399,0.027374,0.034698,-0.000410
1762758265.404807,0.028323,0.033809,-0.000750
1762758265.445879,0.028518,0.031456,-0.000868
1762758265.539122,0.027382,0.032871,-0.000376
1762758265.556428,0.027396,0.034188,-0.000098
1762758265.573779,0.028309,0.032875,-0.000528
1762758265.592912,0.026409,0.032711,-0.001398
1762758265.639589,0.025610,0.033107,-0.001050
1762758265.664129,0.027220,0.034133,-0.000472
1762758265.701046,0.027346,0.035033,-0.000395
1762758265.741615,0.027085,0.034457,-0.000446
1762758265.768214,0.027433,0.035136,-0.000328
1762758265.810766,0.028002,0.037179,0.000426
1762758265.845369,0.027694,0.037537,0.000600
1762758265.879573,0.026415,0.038404,0.000440
1762758265.922199,0.023301,0.039184,0.000840
1762758265.948101,0.017483,0.037732,-0.000009
1762758265.982714,0.012851,0.037405,0.000027
1762758266.026254,0.007586,0.036588,0.000028
1762758266.065636,0.001099,0.037555,0.000786
1762758266.100270,-0.006153,0.035427,0.000047
1762758266.133540,-0.012841,0.035812,0.000878
1762758266.169495,-0.019901,0.037022,0.000230
1762758266.203234,-0.026645,0.039295,0.001158
1762758266.238641,-0.034200,0.035906,0.000045
1762758266.273123,-0.039436,0.035444,0.000235
1762758266.330288,-0.047385,0.032954,-0.001087
1762758266.345610,-0.054672,0.034976,0.000085
1762758266.392916,-0.061111,0.037449,-0.000509
1762758266.419563,-0.067391,0.038813,0.000218
1762758266.457319,-0.071912,0.038314,0.000481
1762758266.505418,-0.077678,0.039788,0.001049
1762758266.548108,-0.088221,0.033489,-0.001138
1762758266.568281,-0.093819,0.034439,-0.000588
1762758266.610129,-0.099223,0.033564,-0.000549
1762758266.644830,-0.105191,0.033720,-0.000130
1762758266.773088,-0.110706,0.033363,-0.000288
1762758266.791294,-0.115593,0.032708,-0.000159
1762758266.809802,-0.121708,0.030433,-0.000622
1762758266.824303,-0.126508,0.031023,-0.000527
1762758266.843487,-0.135037,0.030570,-0.002107
1762758266.860770,-0.141593,0.032531,-0.001264
1762758266.907011,-0.148257,0.032879,-0.001671
1762758266.935672,-0.154772,0.035046,-0.000896
1762758266.980548,-0.162264,0.035699,-0.001866
1762758267.020434,-0.168125,0.037846,-0.001355
1762758267.062092,-0.174458,0.035979,-0.001806
1762758267.091010,-0.181832,0.037229,-0.000739
1762758267.137183,-0.190418,0.034532,-0.002069
1762758267.167146,-0.198293,0.034724,-0.000962
1762758267.206473,-0.206750,0.033610,-0.002244
1762758267.244859,-0.214648,0.033943,-0.001123
1762758267.271029,-0.220201,0.034271,-0.000977
1762758267.312505,-0.227411,0.035879,0.000126
1762758267.364231,-0.234677,0.033972,-0.000471
1762758267.393959,-0.240949,0.034480,0.000069
1762758267.426209,-0.246771,0.034307,0.000194
1762758267.457407,-0.253402,0.035095,0.000799
1762758267.503277,-0.259637,0.031409,0.000577
1762758267.537706,-0.266448,0.032627,0.001343
1762758267.763111,-0.273297,0.032296,0.000907
1762758267.778701,-0.279087,0.032062,0.001223
1762758267.794029,-0.285285,0.034232,0.001096
1762758267.813646,-0.290329,0.039841,0.001472
1762758267.829905,-0.297331,0.038825,0.000995
1762758267.847922,-0.303763,0.040639,0.001578
1762758267.863162,-0.310708,0.041362,0.001369
1762758267.882464,-0.318053,0.042762,0.002253
1762758267.901551,-0.325347,0.040473,0.001546
1762758267.924342,-0.331152,0.044561,0.002128
1762758267.960465,-0.337692,0.044046,0.002033
1762758268.006839,-0.346064,0.045714,0.003288
1762758268.027636,-0.352232,0.044748,0.003256
1762758268.061693,-0.357814,0.045408,0.003509
1762758268.098989,-0.363543,0.044772,0.003628
1762758268.133305,-0.370218,0.045144,0.004311
1762758268.173494,-0.377552,0.044147,0.003893
1762758268.223826,-0.383378,0.045473,0.004304
1762758268.265801,-0.389439,0.045518,0.004195
1762758268.302533,-0.395470,0.045916,0.004664
1762758268.343435,-0.402414,0.043815,0.004046
1762758268.369554,-0.409090,0.045401,0.004849
1762758268.411196,-0.416358,0.044866,0.004223
1762758268.447616,-0.423754,0.045351,0.005065
1762758268.484054,-0.431045,0.045059,0.004380
1762758268.529059,-0.437241,0.045819,0.004995
1762758268.558286,-0.444096,0.046881,0.004510
1762758268.606301,-0.451232,0.049534,0.005562
1762758268.649268,-0.455247,0.049080,0.005839
1762758268.674396,-0.459677,0.048884,0.005816
1762758268.708387,-0.465797,0.048999,0.005719
1762758268.750156,-0.470795,0.050266,0.005995
1762758268.783874,-0.477775,0.050327,0.005372
1762758268.833130,-0.483755,0.052257,0.006107
1762758268.870817,-0.491977,0.052054,0.005244
1762758268.905146,-0.497940,0.052721,0.005750
1762758268.951771,-0.504599,0.052184,0.005165
1762758268.980348,-0.510540,0.052875,0.005769
1762758269.021139,-0.516477,0.052706,0.005358
1762758269.056031,-0.520880,0.053457,0.005560
1762758269.096106,-0.525169,0.051437,0.005897
1762758269.136184,-0.530190,0.052364,0.006245
1762758269.165949,-0.536040,0.052790,0.006028
1762758269.203727,-0.542213,0.053481,0.006672
1762758269.249383,-0.547839,0.050768,0.006474
1762758269.288460,-0.553973,0.053042,0.007236
1762758269.324775,-0.558907,0.051693,0.006996
1762758269.358190,-0.564771,0.052621,0.007692
1762758269.400406,-0.574202,0.050180,0.005938
1762758269.433192,-0.579462,0.052596,0.006341
1762758269.470479,-0.586275,0.051727,0.005708
1762758269.508707,-0.593823,0.052531,0.006899
1762758269.538802,-0.598417,0.051378,0.007190
1762758269.584044,-0.603702,0.052490,0.007576
1762758269.618656,-0.611231,0.052194,0.006779
1762758269.681885,-0.618416,0.054481,0.007813
1762758269.696469,-0.624916,0.054897,0.007405
1762758269.721128,-0.632353,0.055952,0.008487
1762758269.759474,-0.637544,0.055867,0.008445
1762758269.819950,-0.645324,0.057153,0.009591
1762758269.837874,-0.652893,0.057592,0.008703
1762758269.885136,-0.659418,0.057535,0.009457
1762758269.920325,-0.666753,0.056144,0.008633
1762758269.949807,-0.672843,0.056557,0.009130
1762758269.995688,-0.678959,0.054912,0.008752
1762758270.036778,-0.685961,0.056697,0.009626
1762758270.066937,-0.693197,0.057750,0.008927
1762758270.101512,-0.699502,0.059198,0.009574
1762758270.137217,-0.706700,0.055387,0.008813
1762758270.171787,-0.712919,0.055012,0.009182
1762758270.205433,-0.718283,0.054480,0.009361
1762758270.241637,-0.724701,0.054764,0.009920
1762758270.279610,-0.732032,0.054444,0.009413
1762758270.317299,-0.739849,0.054864,0.010414
1762758270.358423,-0.748260,0.054261,0.009358
1762758270.525619,-0.753662,0.054584,0.009595
1762758270.551015,-0.762078,0.054188,0.008686
1762758270.569719,-0.769492,0.055930,0.009607
1762758270.590094,-0.777239,0.055460,0.008736
1762758270.607099,-0.783841,0.056557,0.009537
1762758270.635164,-0.791917,0.055615,0.008516
1762758270.648010,-0.798535,0.055885,0.009059
1762758270.661098,-0.806318,0.056056,0.008242
1762758270.710880,-0.814675,0.057075,0.009482
1762758270.769115,-0.822993,0.056207,0.008523
1762758270.785409,-0.830083,0.057769,0.009360
1762758270.801394,-0.836956,0.057021,0.009092
1762758270.926320,-0.843127,0.057616,0.009604
1762758270.942719,-0.849541,0.056577,0.009314
1762758270.959102,-0.855299,0.058294,0.009759
1762758270.975673,-0.861920,0.058945,0.009323
1762758270.996060,-0.868972,0.059830,0.010288
1762758271.021706,-0.875628,0.058448,0.009553
1762758271.054011,-0.881843,0.060514,0.010260
1762758271.112247,-0.890225,0.057718,0.009174
1762758271.133914,-0.897193,0.057626,0.009975
1762758271.160748,-0.905154,0.059438,0.008974
1762758271.201282,-0.912031,0.060207,0.009809
1762758271.230924,-0.919988,0.059769,0.008720
1762758271.268526,-0.925745,0.060115,0.009267
1762758271.316118,-0.931898,0.059748,0.009041
1762758271.355122,-0.938764,0.060763,0.009933
1762758271.376588,-0.945662,0.060635,0.009247
1762758271.416299,-0.951293,0.062069,0.009749
1762758271.451580,-0.957733,0.061469,0.009477
1762758271.498980,-0.965570,0.062939,0.010789
1762758271.533365,-0.972086,0.062928,0.010253
1762758271.556558,-0.979238,0.063544,0.011347
1762758271.601641,-0.985266,0.065268,0.011088
1762758271.633902,-0.991573,0.066643,0.011938
1762758271.670823,-0.997539,0.066451,0.011372
1762758271.705307,-1.000853,0.065958,0.011772
1762758271.759346,-1.003769,0.066144,0.010937
1762758271.778207,-1.003912,0.066502,0.010909
1762758271.809144,-1.002879,0.066705,0.011440
1762758271.882961,-1.003572,0.065832,0.011588
1762758271.901455,-1.003931,0.065803,0.011110
1762758271.919582,-1.004246,0.065492,0.010914
1762758271.959644,-1.005688,0.065166,0.009958
1762758272.001814,-1.005590,0.064763,0.009835
1762758272.036660,-1.006882,0.064641,0.009055
1762758272.068175,-1.006155,0.064111,0.008809
1762758272.111701,-1.005598,0.064293,0.009150
1762758272.144411,-1.004843,0.064194,0.008831
1762758272.187944,-1.004692,0.063952,0.008623
1762758272.220383,-1.004645,0.063049,0.008556
1762758272.264428,-1.005159,0.064375,0.008365
1762758272.300716,-1.005172,0.064292,0.008460
1762758272.339746,-1.005682,0.064463,0.008220
1762758272.374032,-1.005175,0.064241,0.008084
1762758272.416625,-1.005949,0.066266,0.007884
1762758272.467721,-1.006617,0.066548,0.008281
1762758272.484163,-1.006329,0.065560,0.008249
1762758272.528895,-1.005841,0.064938,0.008095
1762758272.561918,-1.006114,0.064336,0.008017
1762758272.600012,-1.006813,0.064587,0.008370
1762758272.641391,-1.008084,0.065188,0.008187
1762758272.667533,-1.007591,0.064825,0.008124
1762758272.708108,-1.005594,0.065200,0.009290
1762758272.745198,-1.004409,0.064149,0.008798
1762758272.776643,-1.004760,0.066070,0.008834
1762758272.816011,-1.003792,0.066164,0.008374
1762758272.860404,-1.006155,0.065518,0.007407
1762758272.892467,-1.006207,0.064402,0.007458
1762758272.940220,-1.006590,0.066636,0.007704
1762758272.972304,-1.005314,0.065725,0.007179
1762758273.008850,-1.005744,0.065366,0.007148
1762758273.046333,-1.004739,0.066333,0.006999
1762758273.082266,-1.004108,0.066906,0.007484
1762758273.118415,-1.003162,0.067011,0.007335
1762758273.156312,-1.004781,0.068100,0.006888
1762758273.212374,-1.005365,0.067848,0.007178
1762758273.237861,-1.006049,0.068127,0.006942
1762758273.282372,-1.004508,0.068128,0.006375
1762758273.321868,-1.004037,0.070757,0.006444
1762758273.358211,-1.002780,0.069515,0.005927
1762758273.402840,-1.004835,0.068072,0.005190
1762758273.432952,-1.004573,0.066296,0.005250
1762758273.476437,-1.005166,0.066746,0.005477
1762758273.513134,-1.004883,0.066285,0.005589
1762758273.563213,-1.005807,0.068737,0.004172
1762758273.598123,-0.995866,0.065621,0.000697
1762758273.628957,-1.027833,0.062763,-0.007173
1762758273.666147,-0.987449,0.053366,-0.016579
1762758273.721419,-1.045241,0.080716,-0.033910
1762758273.748669,-0.997800,0.069331,-0.039969
1762758273.797261,-1.059983,0.094293,-0.063280
1762758273.835222,-1.010606,0.086563,-0.069889
1762758273.880419,-1.072149,0.112865,-0.088343
1762758273.983329,-1.029095,0.132190,-0.108336
1762758274.030363,-1.091277,0.156885,-0.130957
1762758274.120829,-1.048358,0.175742,-0.152568
1762758274.165243,-1.110312,0.205193,-0.173343
1762758274.298693,-1.069726,0.226178,-0.192702
1762758274.381582,-1.084857,0.213311,-0.233877
1762758274.453682,-1.102375,0.212136,-0.271237
1762758274.549110,-1.119266,0.192664,-0.306464
1762758274.651490,-1.191737,0.190137,-0.363186
1762758274.701125,-1.173538,0.184128,-0.407815
1762758274.785421,-1.224541,0.169588,-0.434947
1762758274.860321,-1.239614,0.155009,-0.472056
1762758274.927995,-1.257489,0.152899,-0.508413
1762758275.027896,-1.274757,0.153258,-0.540354
1762758275.145667,-1.295975,0.164132,-0.569306
1762758275.201819,-1.312540,0.152309,-0.608051
1762758275.218925,-1.312382,0.151206,-0.608507
1762758275.245007,-1.313784,0.152086,-0.608931
1762758275.259115,-1.313034,0.151805,-0.609111
1762758275.277271,-1.312574,0.151599,-0.608807
1762758275.295837,-1.314324,0.151394,-0.608344
1762758275.314295,-1.314106,0.150755,-0.608499
1762758275.329838,-1.313540,0.151319,-0.608644
1762758275.351294,-1.314617,0.151788,-0.609388
1762758275.369833,-1.316182,0.151368,-0.608911
1762758275.385819,-1.316033,0.151901,-0.608693
1762758275.429525,-1.316006,0.151477,-0.608739
1762758275.463381,-1.314388,0.151097,-0.608282
1762758275.496463,-1.315159,0.150757,-0.608094
1762758275.540534,-1.313325,0.150936,-0.607447
1762758275.568471,-1.312652,0.150893,-0.607576
1762758275.611520,-1.310963,0.149815,-0.606990
1762758275.660294,-1.311577,0.149918,-0.606757
